NAMESPACE            NAME                                                READY   STATUS      RESTARTS        AGE     IP                NODE                     NOMINATED NODE   READINESS GATES
longhorn-system      engine-image-ei-493e04e7-xxpqf                      1/1     Running     0               3h27m   fd00:42:0:1::7    trans-service-worker-2   <none>           <none>
longhorn-system      instance-manager-2b9c0d4968bba0383d5d0e643d6fa4a4   1/1     Running     0               3h27m   fd00:42::d        trans-service-master     <none>           <none>
longhorn-system      instance-manager-6b155b398152c1ee4aa0fd909cd1033b   1/1     Running     0               3h27m   fd00:42:0:1::a    trans-service-worker-2   <none>           <none>
longhorn-system      instance-manager-c113461fc6444963d88e594c384d345c   1/1     Running     0               3h27m   fd00:42:0:3::a    trans-service-worker-1   <none>           <none>
longhorn-system      longhorn-csi-plugin-k5jv7                           3/3     Running     0               3h25m   fd00:42::12       trans-service-master     <none>           <none>
longhorn-system      longhorn-csi-plugin-nz8nz                           3/3     Running     0               3h25m   fd00:42:0:1::f    trans-service-worker-2   <none>           <none>
longhorn-system      longhorn-csi-plugin-tb28z                           3/3     Running     0               3h25m   fd00:42:0:3::11   trans-service-worker-1   <none>           <none>
longhorn-system      longhorn-driver-deployer-8688565869-2qdcs           1/1     Running     1 (3h25m ago)   3h28m   fd00:42:0:1::6    trans-service-worker-2   <none>           <none>
longhorn-system      longhorn-manager-97lxs                              2/2     Running     1 (3h27m ago)   3h28m   fd00:42::9        trans-service-master     <none>           <none>
longhorn-system      longhorn-manager-g8p9t                              2/2     Running     2 (3h27m ago)   3h28m   fd00:42:0:3::5    trans-service-worker-1   <none>           <none>
longhorn-system      longhorn-manager-ns2p8                              2/2     Running     0               3h28m   fd00:42:0:1::5    trans-service-worker-2   <none>           <none>
longhorn-system      longhorn-ui-79b9b8cbdc-7wb9t                        1/1     Running     0               3h28m   fd00:42:0:3::6    trans-service-worker-1   <none>           <none>
longhorn-system      longhorn-ui-79b9b8cbdc-l64tm                        1/1     Running     0               3h28m   fd00:42::a        trans-service-master     <none>           <none>
seaweedfs            seaweedfs-bucket-init-qzncf                         0/1     Completed   0               3h18m   fd00:42:0:3::12   trans-service-worker-1   <none>           <none>
seaweedfs            seaweedfs-filer-0                                   1/1     Running     0               3h18m   fd00:42:0:1::10   trans-service-worker-2   <none>           <none>
seaweedfs            seaweedfs-master-0                                  1/1     Running     0               3h18m   fd00:42:0:3::13   trans-service-worker-1   <none>           <none>
seaweedfs            seaweedfs-volume-0                                  1/1     Running     0               3h18m   fd00:42:0:1::11   trans-service-worker-2   <none>           <none>
system-upgrade       system-upgrade-controller-d7ccf9944-vvnfj           1/1     Running     0               3h27m   fd00:42::c        trans-service-master     <none>           <none>
translate-platform   grafana-5fdc57484b-qnhct                            1/1     Running     0               3h9m    fd00:42:0:1::18   trans-service-worker-2   <none>           <none>
translate-platform   grafana-alloy-fpmlp                                 1/1     Running     0               3h9m    fd00:42:0:1::14   trans-service-worker-2   <none>           <none>
translate-platform   grafana-alloy-kmdgg                                 1/1     Running     0               3h9m    fd00:42:0:3::15   trans-service-worker-1   <none>           <none>
translate-platform   grafana-alloy-psrp9                                 1/1     Running     0               3h9m    fd00:42::17       trans-service-master     <none>           <none>
translate-platform   grafana-loki-8587dbd755-74ctg                       1/1     Running     0               3h9m    fd00:42:0:1::16   trans-service-worker-2   <none>           <none>
translate-platform   grafana-prometheus-f48f5477c-xqz5r                  1/1     Running     0               3h9m    fd00:42:0:1::17   trans-service-worker-2   <none>           <none>
translate-platform   grafana-tempo-76c457fb77-9qkdn                      1/1     Running     1 (65m ago)     3h9m    fd00:42:0:1::19   trans-service-worker-2   <none>           <none>
NAME              REFERENCE                     TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
analytics-api     Deployment/analytics-api      cpu: 2%/70%   2         5         2          118m
translation-api   Deployment/translation-api    cpu: 1%/70%   3         8         3          3h9m
translation-llm   StatefulSet/translation-llm   cpu: 0%/70%   3         6         3          118m
web-ui            Deployment/web-ui             cpu: 2%/70%   2         5         2          118m
